id_transaksi,tanggal,jenis_transaksi,nama_barang,gudang_asal,gudang_tujuan,jumlah_masuk,jumlah_keluar,jumlah_rusak,jumlah_hilang,jumlah_ketemu,harga_satuan,total_transaksi,metode_pembayaran,status_transaksi,catatan
TRX0046,2025-01-11,penjualan,Botol 330ml,Gudang C,,0,11,0,0,0,2000,22000,non-cash,selesai,Penjualan otomatis dari Gudang C
TRX0047,2025-01-12,penjualan,Botol 750ml,Gudang B,,0,46,0,0,0,2800,128800,tempo,selesai,Penjualan otomatis dari Gudang B
TRX0048,2025-01-12,penjualan,Botol 1500ml,Gudang C,,0,59,0,0,0,3500,206500,transfer,pending,Penjualan otomatis dari Gudang C
TRX0049,2025-01-12,penjualan,Botol 250ml,Gudang A,,0,21,0,0,0,1700,35700,non-cash,pending,Penjualan otomatis dari Gudang A
TRX0050,2025-01-12,pindah_gudang,Botol 250ml,Gudang A,Gudang B,49,49,0,0,0,1500,0,internal,selesai,Pindah stok dari Gudang A ke Gudang B
TRX0051,2025-01-12,stok_adjustment,Botol 250ml,Gudang B,,0,0,0,2,0,0,0,none,selesai,Penyesuaian stok periodik
TRX0052,2025-01-13,restock,Botol 1500ml,,Gudang B,202,0,0,0,0,3500,707000,transfer,selesai,Restock otomatis ke Gudang B
TRX0053,2025-01-13,penjualan,Botol 330ml,Gudang C,,0,10,0,0,0,1900,19000,transfer,selesai,Penjualan otomatis dari Gudang C
TRX0054,2025-01-13,penjualan,Botol 250ml,Gudang D,,0,14,0,0,0,1500,21000,transfer,selesai,Penjualan otomatis dari Gudang D
TRX0055,2025-01-14,restock,Botol 600ml,,Gudang C,364,0,0,0,0,2200,800800,transfer,selesai,Restock otomatis ke Gudang C
TRX0056,2025-01-14,restock,Botol 1000ml,,Gudang D,146,0,0,0,0,3000,438000,cash,selesai,Restock otomatis ke Gudang D
TRX0057,2025-01-14,penjualan,Botol 500ml,Gudang C,,0,30,0,0,0,2000,60000,cash,selesai,Penjualan otomatis dari Gudang C
TRX0058,2025-01-14,penjualan,Botol 250ml,Gudang B,,0,12,0,0,0,1700,20400,non-cash,selesai,Penjualan otomatis dari Gudang B
TRX0059,2025-01-14,penjualan,Botol 250ml,Gudang A,,0,23,0,0,0,1700,39100,transfer,selesai,Penjualan otomatis dari Gudang A
TRX0060,2025-01-14,penjualan,Botol 500ml,Gudang A,,0,58,0,0,0,2000,116000,cash,selesai,Penjualan otomatis dari Gudang A
TRX0061,2025-01-14,penjualan,Botol 1000ml,Gudang D,,0,27,0,0,0,3000,81000,tempo,selesai,Penjualan otomatis dari Gudang D
TRX0062,2025-01-14,pindah_gudang,Botol 600ml,Gudang C,Gudang D,86,86,0,0,0,2200,0,internal,selesai,Pindah stok dari Gudang C ke Gudang D
TRX0063,2025-01-15,penjualan,Botol 750ml,Gudang B,,0,68,0,0,0,2800,190400,tempo,selesai,Penjualan otomatis dari Gudang B
TRX0064,2025-01-15,penjualan,Botol 250ml,Gudang A,,0,63,0,0,0,1500,94500,non-cash,pending,Penjualan otomatis dari Gudang A
TRX0065,2025-01-15,penjualan,Botol 1500ml,Gudang C,,0,31,0,0,0,3500,108500,cash,selesai,Penjualan otomatis dari Gudang C
TRX0066,2025-01-15,penjualan,Botol 250ml,Gudang B,,0,10,1,0,0,1500,15000,non-cash,pending,Penjualan otomatis dari Gudang B
TRX0067,2025-01-16,penjualan,Botol 600ml,Gudang C,,0,46,0,0,0,2200,101200,transfer,pending,Penjualan otomatis dari Gudang C
TRX0068,2025-01-16,penjualan,Botol 500ml,Gudang C,,0,11,0,0,0,2000,22000,transfer,selesai,Penjualan otomatis dari Gudang C
TRX0069,2025-01-16,penjualan,Botol 600ml,Gudang B,,0,16,0,0,0,2200,35200,transfer,selesai,Penjualan otomatis dari Gudang B
TRX0070,2025-01-16,penjualan,Botol 250ml,Gudang D,,0,24,0,0,0,1500,36000,non-cash,selesai,Penjualan otomatis dari Gudang D
TRX0071,2025-01-16,penjualan,Botol 1500ml,Gudang C,,0,15,0,0,0,3500,52500,cash,selesai,Penjualan otomatis dari Gudang C
TRX0072,2025-01-16,pindah_gudang,Botol 500ml,Gudang A,Gudang B,192,192,0,0,0,2000,0,internal,selesai,Pindah stok dari Gudang A ke Gudang B
TRX0073,2025-01-16,pindah_gudang,Botol 250ml,Gudang A,Gudang D,53,53,0,0,0,1500,0,internal,selesai,Pindah stok dari Gudang A ke Gudang D
TRX0074,2025-01-17,restock,Botol 750ml,,Gudang C,276,0,0,0,0,2600,717600,cash,selesai,Restock otomatis ke Gudang C
TRX0075,2025-01-17,restock,Botol 1000ml,,Gudang D,287,0,0,0,0,3000,861000,cash,selesai,Restock otomatis ke Gudang D
TRX0076,2025-01-17,restock,Botol 250ml,,Gudang B,102,0,0,0,0,1500,153000,cash,selesai,Restock otomatis ke Gudang B
TRX0077,2025-01-17,penjualan,Botol 1500ml,Gudang D,,0,14,0,0,0,3700,51800,tempo,selesai,Penjualan otomatis dari Gudang D
TRX0078,2025-01-17,penjualan,Botol 1500ml,Gudang B,,0,44,0,0,0,3500,154000,transfer,selesai,Penjualan otomatis dari Gudang B
TRX0079,2025-01-17,penjualan,Botol 750ml,Gudang B,,0,39,0,0,0,2600,101400,non-cash,selesai,Penjualan otomatis dari Gudang B
TRX0080,2025-01-17,penjualan,Botol 500ml,Gudang D,,0,33,0,0,0,2200,72600,tempo,selesai,Penjualan otomatis dari Gudang D
TRX0081,2025-01-17,penjualan,Botol 250ml,Gudang B,,0,13,0,0,0,1500,19500,non-cash,selesai,Penjualan otomatis dari Gudang B
TRX0082,2025-01-17,penjualan,Botol 250ml,Gudang D,,0,49,0,0,0,1500,73500,transfer,selesai,Penjualan otomatis dari Gudang D
TRX0083,2025-01-17,pindah_gudang,Botol 250ml,Gudang D,Gudang C,79,79,0,0,0,1500,0,internal,selesai,Pindah stok dari Gudang D ke Gudang C
TRX0084,2025-01-17,pindah_gudang,Botol 1000ml,Gudang D,Gudang B,100,100,0,0,0,3000,0,internal,selesai,Pindah stok dari Gudang D ke Gudang B
TRX0085,2025-01-18,restock,Botol 1500ml,,Gudang C,216,0,0,0,0,3500,756000,transfer,selesai,Restock otomatis ke Gudang C
TRX0086,2025-01-18,restock,Botol 330ml,,Gudang A,200,0,0,0,0,1700,340000,cash,selesai,Restock otomatis ke Gudang A
TRX0087,2025-01-18,restock,Botol 1000ml,,Gudang B,344,0,0,0,0,3000,1032000,transfer,selesai,Restock otomatis ke Gudang B
TRX0088,2025-01-18,penjualan,Botol 330ml,Gudang A,,0,31,0,0,0,2000,62000,transfer,selesai,Penjualan otomatis dari Gudang A
TRX0089,2025-01-18,pindah_gudang,Botol 330ml,Gudang A,Gudang D,105,105,0,0,0,1700,0,internal,selesai,Pindah stok dari Gudang A ke Gudang D
TRX0090,2025-01-18,pindah_gudang,Botol 250ml,Gudang D,Gudang A,90,90,0,0,0,1500,0,internal,selesai,Pindah stok dari Gudang D ke Gudang A
TRX0091,2025-01-18,stok_adjustment,Botol 1000ml,Gudang D,,0,0,7,2,0,0,0,none,selesai,Penyesuaian stok periodik
TRX0092,2025-01-19,restock,Botol 600ml,,Gudang A,243,0,0,0,0,2200,534600,transfer,selesai,Restock otomatis ke Gudang A
TRX0093,2025-01-19,restock,Botol 1500ml,,Gudang A,293,0,0,0,0,3500,1025500,transfer,selesai,Restock otomatis ke Gudang A
TRX0094,2025-01-19,restock,Botol 600ml,,Gudang A,317,0,0,0,0,2200,697400,cash,selesai,Restock otomatis ke Gudang A
TRX0095,2025-01-19,penjualan,Botol 1000ml,Gudang D,,0,56,0,0,0,3200,179200,non-cash,selesai,Penjualan otomatis dari Gudang D
TRX0096,2025-01-19,pindah_gudang,Botol 1000ml,Gudang D,Gudang C,79,79,0,0,0,3000,0,internal,selesai,Pindah stok dari Gudang D ke Gudang C
TRX0097,2025-01-19,pindah_gudang,Botol 250ml,Gudang A,Gudang B,77,77,0,0,0,1500,0,internal,selesai,Pindah stok dari Gudang A ke Gudang B
TRX0098,2025-01-19,stok_adjustment,Botol 1000ml,Gudang D,,0,0,13,10,0,0,0,none,selesai,Penyesuaian stok periodik
TRX0099,2025-01-20,restock,Botol 1000ml,,Gudang C,144,0,0,0,0,3000,432000,transfer,selesai,Restock otomatis ke Gudang C
TRX0100,2025-01-20,restock,Botol 750ml,,Gudang A,239,0,0,0,0,2600,621400,transfer,selesai,Restock otomatis ke Gudang A
TRX0101,2025-01-20,penjualan,Botol 1500ml,Gudang A,,0,17,0,1,0,3500,59500,non-cash,selesai,Penjualan otomatis dari Gudang A
TRX0102,2025-01-20,penjualan,Botol 600ml,Gudang A,,0,61,3,0,0,2200,134200,non-cash,selesai,Penjualan otomatis dari Gudang A
TRX0103,2025-01-20,stok_adjustment,Botol 500ml,Gudang D,,0,0,3,3,1,0,0,none,selesai,Penyesuaian stok periodik
TRX0104,2025-01-21,restock,Botol 330ml,,Gudang A,177,0,0,0,0,1700,300900,cash,selesai,Restock otomatis ke Gudang A
TRX0105,2025-01-21,restock,Botol 600ml,,Gudang D,309,0,0,0,0,2200,679800,transfer,selesai,Restock otomatis ke Gudang D
TRX0106,2025-01-21,penjualan,Botol 250ml,Gudang D,,0,13,0,0,0,1500,19500,non-cash,selesai,Penjualan otomatis dari Gudang D
TRX0107,2025-01-21,penjualan,Botol 1500ml,Gudang C,,0,33,4,0,0,3700,122100,cash,selesai,Penjualan otomatis dari Gudang C
TRX0108,2025-01-21,penjualan,Botol 750ml,Gudang B,,0,11,0,0,0,2600,28600,tempo,selesai,Penjualan otomatis dari Gudang B
TRX0109,2025-01-21,penjualan,Botol 750ml,Gudang B,,0,21,0,0,0,2600,54600,non-cash,pending,Penjualan otomatis dari Gudang B
TRX0110,2025-01-21,penjualan,Botol 330ml,Gudang D,,0,25,0,0,0,2000,50000,transfer,selesai,Penjualan otomatis dari Gudang D
TRX0111,2025-01-21,penjualan,Botol 600ml,Gudang C,,0,40,0,0,0,2500,100000,non-cash,selesai,Penjualan otomatis dari Gudang C
TRX0112,2025-01-21,pindah_gudang,Botol 250ml,Gudang D,Gudang B,45,45,0,0,0,1500,0,internal,selesai,Pindah stok dari Gudang D ke Gudang B
TRX0113,2025-01-22,restock,Botol 600ml,,Gudang B,369,0,0,0,0,2200,811800,cash,selesai,Restock otomatis ke Gudang B
TRX0114,2025-01-22,restock,Botol 1500ml,,Gudang B,109,0,0,0,0,3500,381500,transfer,selesai,Restock otomatis ke Gudang B
TRX0115,2025-01-22,penjualan,Botol 600ml,Gudang C,,0,48,0,0,0,2200,105600,transfer,pending,Penjualan otomatis dari Gudang C
TRX0116,2025-01-22,penjualan,Botol 600ml,Gudang A,,0,47,0,0,0,2500,117500,transfer,batal,Penjualan otomatis dari Gudang A
TRX0117,2025-01-22,penjualan,Botol 500ml,Gudang B,,0,18,0,0,0,2200,39600,tempo,selesai,Penjualan otomatis dari Gudang B
TRX0118,2025-01-22,penjualan,Botol 750ml,Gudang A,,0,28,0,1,0,2600,72800,transfer,selesai,Penjualan otomatis dari Gudang A
TRX0119,2025-01-22,penjualan,Botol 250ml,Gudang B,,0,20,0,0,0,1700,34000,tempo,selesai,Penjualan otomatis dari Gudang B
TRX0120,2025-01-22,stok_adjustment,Botol 330ml,Gudang A,,0,0,5,14,0,0,0,none,selesai,Penyesuaian stok periodik
TRX0121,2025-01-23,penjualan,Botol 750ml,Gudang A,,0,48,0,0,0,2600,124800,transfer,selesai,Penjualan otomatis dari Gudang A
TRX0122,2025-01-23,penjualan,Botol 500ml,Gudang B,,0,38,0,0,0,2000,76000,cash,selesai,Penjualan otomatis dari Gudang B
TRX0123,2025-01-23,penjualan,Botol 500ml,Gudang D,,0,37,0,0,0,2000,74000,transfer,selesai,Penjualan otomatis dari Gudang D
TRX0124,2025-01-23,penjualan,Botol 1000ml,Gudang C,,0,42,0,0,0,3000,126000,transfer,selesai,Penjualan otomatis dari Gudang C
TRX0125,2025-01-23,penjualan,Botol 330ml,Gudang A,,0,41,5,0,0,1700,69700,cash,selesai,Penjualan otomatis dari Gudang A
TRX0126,2025-01-23,pindah_gudang,Botol 1000ml,Gudang C,Gudang A,79,79,0,0,0,3000,0,internal,selesai,Pindah stok dari Gudang C ke Gudang A
TRX0127,2025-01-23,pindah_gudang,Botol 1500ml,Gudang C,Gudang B,39,39,0,0,0,3500,0,internal,selesai,Pindah stok dari Gudang C ke Gudang B
TRX0128,2025-01-24,restock,Botol 750ml,,Gudang C,232,0,0,0,0,2600,603200,cash,selesai,Restock otomatis ke Gudang C
TRX0129,2025-01-24,restock,Botol 330ml,,Gudang B,396,0,0,0,0,1700,673200,cash,selesai,Restock otomatis ke Gudang B
TRX0130,2025-01-24,penjualan,Botol 1000ml,Gudang A,,0,23,0,1,0,3200,73600,tempo,selesai,Penjualan otomatis dari Gudang A
TRX0131,2025-01-24,pindah_gudang,Botol 750ml,Gudang C,Gudang A,135,135,0,0,0,2600,0,internal,selesai,Pindah stok dari Gudang C ke Gudang A
TRX0132,2025-01-25,restock,Botol 500ml,,Gudang B,251,0,0,0,0,2000,502000,transfer,selesai,Restock otomatis ke Gudang B
TRX0133,2025-01-25,penjualan,Botol 1000ml,Gudang D,,0,48,0,0,0,3000,144000,tempo,selesai,Penjualan otomatis dari Gudang D
TRX0134,2025-01-25,penjualan,Botol 250ml,Gudang B,,0,55,0,0,0,1700,93500,cash,selesai,Penjualan otomatis dari Gudang B
TRX0135,2025-01-25,penjualan,Botol 1000ml,Gudang C,,0,33,0,0,0,3300,108900,transfer,selesai,Penjualan otomatis dari Gudang C
TRX0136,2025-01-25,penjualan,Botol 1000ml,Gudang C,,0,16,0,0,0,3300,52800,transfer,selesai,Penjualan otomatis dari Gudang C
TRX0137,2025-01-25,penjualan,Botol 600ml,Gudang C,,0,58,0,0,0,2200,127600,non-cash,selesai,Penjualan otomatis dari Gudang C
TRX0138,2025-01-25,penjualan,Botol 600ml,Gudang A,,0,39,0,0,0,2500,97500,transfer,batal,Penjualan otomatis dari Gudang A
TRX0139,2025-01-25,pindah_gudang,Botol 600ml,Gudang C,Gudang D,20,20,0,0,0,2200,0,internal,selesai,Pindah stok dari Gudang C ke Gudang D
TRX0140,2025-01-26,restock,Botol 600ml,,Gudang B,107,0,0,0,0,2200,235400,cash,selesai,Restock otomatis ke Gudang B
TRX0141,2025-01-26,restock,Botol 500ml,,Gudang C,148,0,0,0,0,2000,296000,cash,selesai,Restock otomatis ke Gudang C
TRX0142,2025-01-26,penjualan,Botol 330ml,Gudang D,,0,51,0,0,0,1700,86700,tempo,selesai,Penjualan otomatis dari Gudang D
TRX0143,2025-01-26,penjualan,Botol 750ml,Gudang B,,0,11,0,0,0,2900,31900,tempo,selesai,Penjualan otomatis dari Gudang B
TRX0144,2025-01-26,penjualan,Botol 250ml,Gudang B,,0,66,0,0,0,1700,112200,transfer,batal,Penjualan otomatis dari Gudang B
TRX0145,2025-01-26,penjualan,Botol 500ml,Gudang D,,0,44,0,1,0,2300,101200,non-cash,selesai,Penjualan otomatis dari Gudang D
TRX0146,2025-01-26,stok_adjustment,Botol 600ml,Gudang A,,0,0,39,26,0,0,0,none,selesai,Penyesuaian stok periodik
TRX0147,2025-01-27,restock,Botol 1500ml,,Gudang B,147,0,0,0,0,3500,514500,cash,selesai,Restock otomatis ke Gudang B
TRX0148,2025-01-27,restock,Botol 250ml,,Gudang A,113,0,0,0,0,1500,169500,transfer,selesai,Restock otomatis ke Gudang A
TRX0149,2025-01-27,penjualan,Botol 1000ml,Gudang D,,0,19,0,0,0,3000,57000,transfer,selesai,Penjualan otomatis dari Gudang D
TRX0150,2025-01-27,penjualan,Botol 330ml,Gudang A,,0,12,0,0,0,1700,20400,non-cash,selesai,Penjualan otomatis dari Gudang A
TRX0151,2025-01-27,penjualan,Botol 750ml,Gudang B,,0,15,0,1,0,2600,39000,transfer,batal,Penjualan otomatis dari Gudang B
TRX0152,2025-01-27,penjualan,Botol 250ml,Gudang D,,0,64,0,4,0,1500,96000,cash,selesai,Penjualan otomatis dari Gudang D
TRX0153,2025-01-27,penjualan,Botol 600ml,Gudang C,,0,13,0,0,0,2200,28600,tempo,selesai,Penjualan otomatis dari Gudang C
TRX0154,2025-01-27,stok_adjustment,Botol 1000ml,Gudang C,,0,0,1,2,7,0,0,none,selesai,Penyesuaian stok periodik
TRX0155,2025-01-28,restock,Botol 1000ml,,Gudang C,328,0,0,0,0,3000,984000,transfer,selesai,Restock otomatis ke Gudang C
TRX0156,2025-01-28,restock,Botol 330ml,,Gudang D,314,0,0,0,0,1700,533800,cash,selesai,Restock otomatis ke Gudang D
TRX0157,2025-01-28,penjualan,Botol 330ml,Gudang A,,0,50,0,0,0,2000,100000,non-cash,selesai,Penjualan otomatis dari Gudang A
TRX0158,2025-01-28,penjualan,Botol 1000ml,Gudang B,,0,23,2,0,0,3200,73600,transfer,selesai,Penjualan otomatis dari Gudang B
TRX0159,2025-01-28,penjualan,Botol 600ml,Gudang B,,0,68,0,0,0,2500,170000,cash,selesai,Penjualan otomatis dari Gudang B
TRX0160,2025-01-28,penjualan,Botol 1000ml,Gudang B,,0,68,0,0,0,3000,204000,tempo,selesai,Penjualan otomatis dari Gudang B
TRX0161,2025-01-28,penjualan,Botol 1000ml,Gudang D,,0,22,0,0,0,3000,66000,non-cash,batal,Penjualan otomatis dari Gudang D
TRX0162,2025-01-28,penjualan,Botol 1000ml,Gudang B,,0,63,3,0,0,3300,207900,cash,selesai,Penjualan otomatis dari Gudang B
TRX0163,2025-01-28,pindah_gudang,Botol 1000ml,Gudang C,Gudang B,48,48,0,0,0,3000,0,internal,selesai,Pindah stok dari Gudang C ke Gudang B
TRX0164,2025-01-28,stok_adjustment,Botol 250ml,Gudang A,,0,0,12,1,1,0,0,none,selesai,Penyesuaian stok periodik
TRX0165,2025-01-29,restock,Botol 500ml,,Gudang C,177,0,0,0,0,2000,354000,cash,selesai,Restock otomatis ke Gudang C
TRX0166,2025-01-29,penjualan,Botol 1500ml,Gudang B,,0,38,4,0,0,3500,133000,tempo,selesai,Penjualan otomatis dari Gudang B
TRX0167,2025-01-29,penjualan,Botol 1000ml,Gudang B,,0,57,0,0,0,3300,188100,transfer,selesai,Penjualan otomatis dari Gudang B
TRX0168,2025-01-29,stok_adjustment,Botol 1000ml,Gudang C,,0,0,4,4,0,0,0,none,selesai,Penyesuaian stok periodik
TRX0169,2025-01-30,restock,Botol 1500ml,,Gudang B,364,0,0,0,0,3500,1274000,cash,selesai,Restock otomatis ke Gudang B
TRX0170,2025-01-30,penjualan,Botol 330ml,Gudang A,,0,15,0,0,0,1900,28500,transfer,selesai,Penjualan otomatis dari Gudang A
TRX0171,2025-01-30,penjualan,Botol 1000ml,Gudang C,,0,33,0,2,0,3200,105600,tempo,selesai,Penjualan otomatis dari Gudang C
TRX0172,2025-01-31,restock,Botol 250ml,,Gudang D,346,0,0,0,0,1500,519000,cash,selesai,Restock otomatis ke Gudang D
TRX0173,2025-01-31,restock,Botol 500ml,,Gudang D,251,0,0,0,0,2000,502000,cash,selesai,Restock otomatis ke Gudang D
TRX0174,2025-01-31,penjualan,Botol 600ml,Gudang D,,0,12,0,0,0,2200,26400,cash,pending,Penjualan otomatis dari Gudang D
TRX0175,2025-01-31,penjualan,Botol 600ml,Gudang B,,0,43,0,0,0,2200,94600,transfer,batal,Penjualan otomatis dari Gudang B
TRX0176,2025-01-31,penjualan,Botol 1000ml,Gudang B,,0,18,0,0,0,3000,54000,tempo,pending,Penjualan otomatis dari Gudang B
TRX0177,2025-01-31,penjualan,Botol 250ml,Gudang D,,0,11,0,0,0,1500,16500,tempo,selesai,Penjualan otomatis dari Gudang D
TRX0178,2025-01-31,penjualan,Botol 1000ml,Gudang D,,0,15,0,0,0,3000,45000,tempo,selesai,Penjualan otomatis dari Gudang D
TRX0179,2025-01-31,pindah_gudang,Botol 500ml,Gudang D,Gudang C,184,184,0,0,0,2000,0,internal,selesai,Pindah stok dari Gudang D ke Gudang C
TRX0180,2025-01-31,pindah_gudang,Botol 1500ml,Gudang C,Gudang B,41,41,0,0,0,3500,0,internal,selesai,Pindah stok dari Gudang C ke Gudang B
TRX0181,2025-01-31,stok_adjustment,Botol 330ml,Gudang D,,0,0,20,2,3,0,0,none,selesai,Penyesuaian stok periodik
TRX0182,2025-02-01,restock,Botol 600ml,,Gudang D,200,0,0,0,0,2200,440000,transfer,selesai,Restock otomatis ke Gudang D
TRX0183,2025-02-01,restock,Botol 500ml,,Gudang C,354,0,0,0,0,2000,708000,cash,selesai,Restock otomatis ke Gudang C
TRX0184,2025-02-01,restock,Botol 1000ml,,Gudang A,350,0,0,0,0,3000,1050000,transfer,selesai,Restock otomatis ke Gudang A
TRX0185,2025-02-01,penjualan,Botol 330ml,Gudang A,,0,40,5,0,0,2000,80000,cash,pending,Penjualan otomatis dari Gudang A
